representation,feature_count,cv_roc_auc,cv_delta_vs_base,holdout_roc_auc,holdout_delta_vs_base,fold_scores
base_manual_90d,5,0.7277616463421883,0.0,0.71622736483955,0.0,"[0.7248216952521381, 0.7260069272450033, 0.7324563165294236]"
curated_auto_candidates,12,0.7296733270260928,0.0019116806839044598,0.7215259953871249,0.005298630547574956,"[0.7248314172830704, 0.730655684887469, 0.7335328789077391]"
broad_nonleaky_auto_candidates,19,0.7296272969555934,0.0018656506134050455,0.7202457619931045,0.004018397153554565,"[0.72324888669243, 0.732950021360819, 0.7326829828135312]"
unsafe_with_future_leakage,21,0.9997069885440091,0.27194534220182076,1.0,0.28377263516045004,"[1.0, 0.9991209656320271, 1.0]"
