representation,average_precision,roc_auc,f1,accuracy
text,0.8025374876159928,0.8590476190476191,0.8372093023255814,0.8478260869565217
image_color,0.72974801065865,0.7104761904761905,0.6521739130434783,0.6521739130434783
nutrition_tabular,0.916933964592898,0.9123809523809523,0.7906976744186046,0.8043478260869565
late_tabular_plus_image,0.9191199471241491,0.9142857142857144,0.7906976744186046,0.8043478260869565
text_plus_image,0.7514680671008995,0.7295238095238095,0.6521739130434783,0.6521739130434783
text_plus_tabular,0.9107754971697921,0.9123809523809524,0.7906976744186046,0.8043478260869565
all_modalities,0.8608281949756964,0.8571428571428571,0.7272727272727273,0.7391304347826086
